Product URL,Name,Rating,Number of Ratings,Number of Reviews,OS,Resolution Type,Resolution Pixels,Launch Year,Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/thomson-phoenix-108-cm-43-inch-qled-ultra-hd-4k-smart-google-tv-dolby-vision-atmos/p/itm70a7a64aa66d3?pid=TVSGSHZRWZPTZ47Z&lid=LSTTVSGSHZRWZPTZ47Z37M5HK&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_11&otracker=search&otracker1=search&iid=en_3bMvRsWFt1PyZMcSmYkbGBnuTEBH_QkXaY2AN_nSzLIO-PXsk7eB3cS9bF3HY3nD1lIjTbrekX2KEgeZRrpU8InfEY2D5bWfIUmTlXs_oiU%3D&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Thomson Phoenix 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & Atmos,4.4,26211,4727,Google TV,N/A,N/A,2023,1,20499,31999,35 
https://www.flipkart.com/mi-xiaomi-x-series-108-cm-43-inch-ultra-hd-4k-led-smart-google-tv-2024-4k-dolby-vision-hdr-10-audio-dts-virtual-vivid-picture-engine/p/itmd9b7cb60c0f2d?pid=TVSH3CGBDDM67EGQ&lid=LSTTVSH3CGBDDM67EGQOI0SRH&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_12&otracker=search&otracker1=search&iid=en_3bMvRsWFt1PyZMcSmYkbGBnuTEBH_QkXaY2AN_nSzLIkWGQAnmH9L_cDG2DFsoXMCs8gT-pzqevp0FV9fxNTzvKSJvID5C-RdFfAlzwDiqI%3D&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Mi by Xiaomi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with 4K Dolby Vi...,4.3,125159,11389,Google TV,ultra hd (4k),3840x2160,2024,2,26999,42999,37 
https://www.flipkart.com/tcl-s5500af-79-97-cm-32-inch-full-hd-led-smart-android-tv-2024-metallic-bezel-less-chromecast-built-in/p/itm61fb1aaf59b23?pid=TVSGZK4KBHZQQJ3G&lid=LSTTVSGZK4KBHZQQJ3GSJC0J5&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_13&otracker=search&otracker1=search&iid=601f72c7-a4d8-4a3d-b432-665baa5b7f99.TVSGZK4KBHZQQJ3G.SEARCH&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,TCL S5500AF 79.97 cm (32 inch) Full HD LED Smart Android TV 2024 Edition with Metallic Bezel Less and ...,4.1,31288,2556,Android,full hd,1920x1080,2024,1,10990,21990,50 
https://www.flipkart.com/thomson-alpha-60-cm-24-inch-hd-ready-led-smart-linux-tv-20-w-sound-output/p/itm8e1f318f88ccc?pid=TVSGMGWWZYMMPG83&lid=LSTTVSGMGWWZYMMPG83APKNG2&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_14&otracker=search&otracker1=search&iid=601f72c7-a4d8-4a3d-b432-665baa5b7f99.TVSGMGWWZYMMPG83.SEARCH&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV with 20 W Sound Output,4.3,44087,5908,Linux,hd ready,1366x768,2023,1,5999,9999,40 
https://www.flipkart.com/thomson-fa-series-100-cm-40-inch-full-hd-led-smart-android-tv-dolby-digital-plus-11/p/itmd1f23f51d665c?pid=TVSGZ8GQXXD8HQRU&lid=LSTTVSGZ8GQXXD8HQRUMNF2RD&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_15&otracker=search&otracker1=search&iid=601f72c7-a4d8-4a3d-b432-665baa5b7f99.TVSGZ8GQXXD8HQRU.SEARCH&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Thomson FA Series 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Digital Plus & Android 11,4.3,122839,21567,Android,full hd,1080x1920,2023,1,14499,26999,46 
https://www.flipkart.com/kodak-special-80-cm-32-inch-hd-ready-led-smart-linux-tv-2024-30w-sound-output-bezel-less-design/p/itm908a15bfd8964?pid=TVSGY97SHZHUFBFH&lid=LSTTVSGY97SHZHUFBFH4MJCG9&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_16&otracker=search&otracker1=search&iid=601f72c7-a4d8-4a3d-b432-665baa5b7f99.TVSGY97SHZHUFBFH.SEARCH&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,KODAK Special Edition 80 cm (32 inch) HD Ready LED Smart Linux TV 2024 Edition with 30W Sound Output &...,4.3,7614,847,Linux,hd ready,1366x768,2024,1,7999,14999,46 
https://www.flipkart.com/innoq-spectra-102-cm-40-inch-full-hd-led-smart-android-tv-30w-boom-speakers-1000-apps-games-mobile-screen-connect-pixel-enhancer/p/itmee59479b7d2e3?pid=TVSH6QJY2BHQRSYH&lid=LSTTVSH6QJY2BHQRSYHPNRDJK&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_17&otracker=search&otracker1=search&iid=en_3bMvRsWFt1PyZMcSmYkbGBnuTEBH_QkXaY2AN_nSzLItEO7-kye7kICAVfwlEwwgZvJFXQYKKsnOTllrvyIsEA%3D%3D&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,InnoQ Spectra 102 cm (40 inch) Full HD LED Smart Android TV with 30W Boom Speakers | 1000+ Smart Apps ...,4,3354,382,Android,full hd,1920x1080,2024,1,11690,34990,66 
https://www.flipkart.com/blaupunkt-quantum-dot-108-cm-43-inch-qled-ultra-hd-4k-smart-google-tv-dolby-vision-50w-sound-output/p/itm2d49ef5a63a8c?pid=TVSGSHZRAYDWF6ZF&lid=LSTTVSGSHZRAYDWF6ZFEIIGXP&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_18&otracker=search&otracker1=search&iid=en_3bMvRsWFt1PyZMcSmYkbGBnuTEBH_QkXaY2AN_nSzLJSnP7Pc58fPTF40w-yuiVZs6i4aRltPziMLoZiyR3zpuI7uWi7bi3WLqk6JF-UYDE%3D&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Blaupunkt Quantum Dot 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & 50W Sound Out...,4.5,9182,2276,Google TV,N/A,N/A,2023,1,21499,33999,36 
https://www.flipkart.com/hisense-q6n-189-cm-75-inch-qled-ultra-hd-4k-smart-google-tv-dolby-vision-atmos-far-field-voice-control-smooth-motion-rate/p/itmb146d54dc589e?pid=TVSHFA9EQXEZC3PX&lid=LSTTVSHFA9EQXEZC3PXOYZSX5&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&spotlightTagId=TrendingId_ckf%2Fczl&srno=s_1_19&otracker=search&otracker1=search&iid=601f72c7-a4d8-4a3d-b432-665baa5b7f99.TVSHFA9EQXEZC3PX.SEARCH&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Hisense Q6N 189 cm (75 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision Atmos Far Field Voice Con...,4.2,2316,420,Google TV,ultra hd (4k),3840x2160,2024,1,89999,149999,40 
https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tizen-tv-bezel-free-design-300-free-channels-purcolor-hyper-real-picture-engine-triple-protection-smartthings-app-support-key-connect-share-hdd-connectshare-usb-2-0/p/itm92cc6d1b1d007?pid=TVSGHY2UZA9YHWQN&lid=LSTTVSGHY2UZA9YHWQNCPAW6M&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_20&otracker=search&otracker1=search&iid=601f72c7-a4d8-4a3d-b432-665baa5b7f99.TVSGHY2UZA9YHWQN.SEARCH&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-Free Design | 300+ Free Channels | PurC...,4.3,155071,11331,Tizen,hd ready,1366x768,2022,1,12990,18900,31 
