Product URL,Name,Rating,Number of Ratings,Number of Reviews,Compressor Type,Built-in Stabilizer,Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/whirlpool-308-l-frost-free-double-door-3-star-refrigerator/p/itmdeb92449a548a?pid=RFRGPXAST9SGPEHQ&lid=LSTRFRGPXAST9SGPEHQAWNVRS&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_276&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGPXAST9SGPEHQ.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 308 L Frost Free Double Door 3 Star Refrigerator,4,1039,70,Reciprocating Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,32490,47250,31 
https://www.flipkart.com/samsung-256-l-frost-free-double-door-3-star-refrigerator-digital-inverter-display/p/itmab574b5461a7a?pid=RFRGPTYNSK5J5ADE&lid=LSTRFRGPTYNSK5J5ADETT29RW&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_277&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGPTYNSK5J5ADE.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 256 L Frost Free Double Door 3 Star Refrigerator  with Digital Inverter and Display,4.3,4181,273,Digital Inverter Compressor,Yes,1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,28590,42990,33 
https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-4-star-refrigerator/p/itm95727c01c9425?pid=RFRHFQXDHZPKZR7S&lid=LSTRFRHFQXDHZPKZR7SUWEWVZ&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_278&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRHFQXDHZPKZR7S.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 184 L Direct Cool Single Door 4 Star Refrigerator,4.3,19088,1179,Normal Compressor,N/A,1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor,14970,19800,24 
https://www.flipkart.com/godrej-180-l-direct-cool-single-door-4-star-refrigerator-large-vegetable-tray-2-25-bottle-space/p/itmf61433a1914c1?pid=RFRGMGZZMFZEUSEW&lid=LSTRFRGMGZZMFZEUSEWIGXXRM&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_279&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGMGZZMFZEUSEW.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Godrej 180 L Direct Cool Single Door 4 Star Refrigerator  with Large Vegetable Tray And 2.25 L Bottle ...,4.4,7581,475,Fixed speed compressor,Yes,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,14490,18990,23 
https://www.flipkart.com/lg-185-l-direct-cool-single-door-4-star-refrigerator-smart-inverter-compressor/p/itmad32cfad95cc0?pid=RFRHYFPTGG5SJV8P&lid=LSTRFRHYFPTGG5SJV8PMHNZLL&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_280&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRHYFPTGG5SJV8P.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,LG 185 L Direct Cool Single Door 4 Star Refrigerator  with Smart Inverter Compressor,4.5,541,24,Smart Inverter Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,15990,21699,26 
https://www.flipkart.com/samsung-256-l-frost-free-double-door-3-star-refrigerator-digital-inverter-display/p/itm98c41a4beb26f?pid=RFRGPTYNX4YMAHEW&lid=LSTRFRGPTYNX4YMAHEWETZI60&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_281&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGPTYNX4YMAHEW.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 256 L Frost Free Double Door 3 Star Refrigerator  with Digital Inverter and Display,4.3,4181,273,Digital Inverter Compressor,Yes,1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,28990,45990,36 
https://www.flipkart.com/samsung-223-l-direct-cool-single-door-3-star-refrigerator-base-drawer-digital-inverter/p/itmff4b79ef650ed?pid=RFRGHJPX7EDU594H&lid=LSTRFRGHJPX7EDU594HMJIRH6&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_282&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGHJPX7EDU594H.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,4.4,1766,151,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",18790,23999,21 
https://www.flipkart.com/haier-205-l-direct-cool-single-door-3-star-refrigerator-base-drawer-deft-technologylarge-storage-space/p/itm53b48624f5234?pid=RFRGWU8AD4Q6WHVF&lid=LSTRFRGWU8AD4Q6WHVFXMPRBV&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_283&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGWU8AD4Q6WHVF.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 205 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with DEFT TechnologyLarge St...,4.3,391,22,Normal Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,17490,25990,32 
https://www.flipkart.com/lg-246-l-frost-free-double-door-3-star-convertible-refrigerator-inverter-compressor-express-freeze-multi-air-flow/p/itmcdcaa4f1e2d48?pid=RFRGHUH5V8N8DEJB&lid=LSTRFRGHUH5V8N8DEJBJBYPAJ&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_284&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGHUH5V8N8DEJB.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,"LG 246 L Frost Free Double Door 3 Star Convertible Refrigerator  with Inverter Compressor, Express Fre...",4.2,362,31,Smart Inverter Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,28990,39299,26 
https://www.flipkart.com/haier-325-l-frost-free-double-door-bottom-mount-3-star-convertible-refrigerator-3-star-14-1-modes-hour-icing-technology-digital-control-panel/p/itmd39c715b6791b?pid=RFRGT4YJGZYGGFVZ&lid=LSTRFRGT4YJGZYGGFVZPHBUZO&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_285&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGT4YJGZYGGFVZ.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 325 L Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator  with 3-Star 14 In 1 C...,4.4,330,35,Inverter Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,35490,54990,35 
