Product URL,Name,Rating,Number of Ratings,Number of Reviews,Power Usage (W),Room Size (sqft),Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/hitachi-ice-clean-frost-wash-technology-2023-model-1-8-ton-4-star-split-inverter-xpandable-plus-ambience-light-r-32-ac-wi-fi-connect-white/p/itmf7967781c18d2?pid=ACNGMMGSYHE4THUJ&lid=LSTACNGMMGSYHE4THUJWXLUUN&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_461&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGMMGSYHE4THUJ.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.8 Ton 4 Star Split Inverter Xpandable plus Ambien...,3.9,63,5,1096.51 kWh,151 - 200 sqft,"1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor",57999,96450,39 
https://www.flipkart.com/blue-star-1-5-ton-3-split-inverter-ac-silver/p/itm00b67a77962ee?pid=ACNGUNA57YGSMRBG&lid=LSTACNGUNA57YGSMRBGIAFURF&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_462&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGUNA57YGSMRBG.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Blue Star 1.5 Ton 3 Star Split Inverter AC  - Silver,4,7,1,1026.46 kWh,111 - 150 sqft,"1 Year Warranty on Product, 10 Years Warranty on Inverter Compressor and 5 Years Warranty on PCB",36962,63250,41 
https://www.flipkart.com/daikin-1-5-ton-3-star-split-ac-white/p/itm06b03ce013ce3?pid=ACNGCBREG94ZEXFJ&lid=LSTACNGCBREG94ZEXFJLLAWEN&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_463&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGCBREG94ZEXFJ.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Daikin 1.5 Ton 3 Star Split AC  - White,4.4,28,1,989.31 kWh,111 - 150 sqft,1 Year Comprehensive Warranty on AC and 5 Years on Compressor,38464,55600,30 
https://www.flipkart.com/lg-ai-convertible-6-in-1-cooling-2023-model-1-5-ton-3-star-split-inverter-2-way-swing-hd-filter-anti-virus-protection-ac-white/p/itmfd32aa1a42405?pid=ACNGHBX44THKQGZQ&lid=LSTACNGHBX44THKQGZQ9B6VVY&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_464&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGHBX44THKQGZQ.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with ...",4.2,10643,1185,968.04 kWh,111 - 150 sqft,"1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging",54999,74990,26 
https://www.flipkart.com/hitachi-ice-clean-frost-wash-technology-2023-model-2-ton-3-star-split-inverter-xpandable-plus-ambience-light-r-32-ac-wi-fi-connect-white/p/itmf7967781c18d2?pid=ACNGMMGSRN9DPMRF&lid=LSTACNGMMGSRN9DPMRFZO6MQL&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_465&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGMMGSRN9DPMRF.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Hitachi Ice Clean Frost Wash Technology 2023 Model 2 Ton 3 Star Split Inverter Xpandable plus Ambience...,3.9,63,5,1397.61 kWh,151 - 200 sqft,"1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor",51999,81850,36 
https://www.flipkart.com/haier-frost-self-clean-2023-model-1-5-ton-4-star-split-inverter-intelli-smart-convertible-7-in-1-cooling-extreme-temperature-ac-wi-fi-connect-white/p/itme16170ebfdf81?pid=ACNGMF2GM42AYGNT&lid=LSTACNGMF2GM42AYGNTC5D58C&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_466&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGMF2GM42AYGNT.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,"Haier Frost Self-Clean 2023 Model 1.5 Ton 4 Star Split Inverter Intelli Smart,� Intelli Convertible 7-...",4,1549,185,886.36 kWh,111 - 150 sqft,1 Year Comprehensive Warranty on Product and 12 Years Warranty on Compressor,42091,69990,39 
https://www.flipkart.com/lloyd-0-8-ton-3-star-split-inverter-ac-white/p/itm4d04d653c280f?pid=ACNGBZFJYHMM7YNW&lid=LSTACNGBZFJYHMM7YNWB0OZRF&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_467&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGBZFJYHMM7YNW.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Lloyd 0.8 Ton 3 Star Split Inverter AC  - White,4.3,843,162,585.16 kWh,90 sqft,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,29100,41990,30 
https://www.flipkart.com/hitachi-1-5-ton-3-star-split-inverter-ac-white/p/itmff3a6141d72a1?pid=ACNGXXFYCQVTYUGS&lid=LSTACNGXXFYCQVTYUGS8FXMK7&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_468&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGXXFYCQVTYUGS.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,3.3,9,1,1012.62 kWh,111 - 150 sqft,"1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor.",36280,63100,42 
https://www.flipkart.com/acer-1-5-ton-5-star-split-inverter-ac-white/p/itmcd550eb4b6f8b?pid=ACNHYGHMCZBSXNAX&lid=LSTACNHYGHMCZBSXNAX3NVKQS&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_469&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNHYGHMCZBSXNAX.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Acer 1.5 Ton 5 Star Split Inverter AC  - White,N/A,N/A,N/A,690.86 kWh,111 - 150 sqft,"1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",36990,54990,32 
https://www.flipkart.com/panasonic-convertible-7-in-1-additional-ai-mode-cooling-2023-model-desert-series-2-2-ton-4-star-split-inverter-way-swing-pm-0-1-air-purification-filter-ac-wi-fi-connect-white/p/itmc6104c6f59361?pid=ACNGMG3QSAGFGGSM&lid=LSTACNGMG3QSAGFGGSMQKBDF3&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_470&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGMG3QSAGFGGSM.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model Desert Series 2.2 Ton 4 Star S...,4.2,391,45,1351.04 kWh,N/A,"1 Year Comprehensive Warranty on AC, 5 Years Warranty on PCB, 10 Years Warranty on Compressor",70690,87900,19 
