Product URL,Name,Rating,Number of Ratings,Number of Reviews,Max Speed (RPM),Star Rating,In-Built Heater,Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/tcl-7-kg-5-star-extra-powerful-motor-lint-filter-fast-dry-semi-automatic-top-load-washing-machine-white/p/itm877c814f9c6a3?pid=WMNGRZUCGNEBERHV&lid=LSTWMNGRZUCGNEBERHV5MNGFB&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_11&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZnefUlotM4iLi9H0aQ_28Hu_VOVPUGzzBkKB2tstgqHsHlF91k_NKRtsN7mkYTl-6AQ%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"TCL 7 kg 5 Star with Extra Powerful Motor Lint Filter, Fast Dry Semi Automatic Top Load Washing Machin...",4.1,110,5,1400 RPM,5 Star,N/A,2 Years,7990,15490,48 
https://www.flipkart.com/onida-6-5-kg-washer-only-red/p/itm01c0ec5333483?pid=WMNE8XYHGGA75VWK&lid=LSTWMNE8XYHGGA75VWKCMHXOA&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_12&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZne8HDB1dU-yPeIHnnl9oEjI-Va_UmzFOIRU29hBbfD_fWaRs4JL222ZRV-dN99QnxU%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,ONIDA 6.5 kg Washer only Red,4.2,28754,3114,780 RPM,N/A,N/A,1 Years,5800,N/A,N/A
https://www.flipkart.com/samsung-7-5-kg-semi-automatic-top-load-washing-machine-grey-red/p/itm23dd5eeaad69d?pid=WMNGZVGSHK5MWTWZ&lid=LSTWMNGZVGSHK5MWTWZVXNN9M&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_13&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGZVGSHK5MWTWZ.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"SAMSUNG 7.5 Kg Semi Automatic Top Load Washing Machine Grey, Red",4.4,39184,2723,1300 RPM,5 Star,N/A,N/A,11690,15800,26 
https://www.flipkart.com/onida-6-5-kg-5-star-10-wash-programs-stainless-steel-drum-fully-automatic-top-load-washing-machine-white/p/itm89e34820898e1?pid=WMNH4K35ZXF28JF9&lid=LSTWMNH4K35ZXF28JF91NYJHF&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_14&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZnenFep7Ztonk1Bf7y37zrIi6PDTeJLfBPbtEkMY5XwzCq8iqbiwhGf4dwbXVx7ZSks%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"ONIDA 6.5 kg 5 Star 10 Wash Programs, Stainless Steel Drum, Fully Automatic Top Load Washing Machine W...",4.2,41092,4624,700 RPM,5 Star,N/A,2 Years,11990,19990,40 
https://www.flipkart.com/ifb-7-kg-powered-ai-5-star-2x-steam-cycle-fully-automatic-front-load-washing-machine-in-built-heater-brown/p/itmfe9361a6bc458?pid=WMNGQ9GGFCCPNKZX&lid=LSTWMNGQ9GGFCCPNKZXYOW5NQ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_15&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGQ9GGFCCPNKZX.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"IFB 7 kg Powered by AI, 5 Star,� with 2x Steam Cycle Fully Automatic Front Load Washing Machine with I...",4.3,86299,8586,1000 RPM,5 Star,Yes,4 Years,27990,36990,24 
https://www.flipkart.com/haier-6-5-kg-balance-clean-pulsator-custom-wash-cycles-15-mins-quick-wash-magic-filter-fully-automatic-top-load-washing-machine-brown-grey/p/itm2c899989a92d7?pid=WMNGFHFPD9KCRH7Y&lid=LSTWMNGFHFPD9KCRH7YJFXO8Y&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_16&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGFHFPD9KCRH7Y.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"Haier 6.5 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Au...",4.3,31906,2770,800 RPM,5 Star,N/A,2 Years,12790,22000,41 
https://www.flipkart.com/onida-7-kg-5-star-10-wash-programs-crystal-drum-fully-automatic-top-load-washing-machine-grey/p/itmb09f214ec0900?pid=WMNFPS483VBXJQGP&lid=LSTWMNFPS483VBXJQGPBCKZL7&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_17&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZnepA3QVQZfw6PctOg45FvJI5WekEl9YxpmAWfG6ICAmW_KSJvID5C-RdFfAlzwDiqI%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,ONIDA 7 kg 5 Star 10 Wash Programs Crystal Drum Fully Automatic Top Load Washing Machine Grey,4.2,14049,1492,750 RPM,5 Star,N/A,2 Years,13490,21990,38 
https://www.flipkart.com/tcl-9-5-kg-8-wash-program-magic-filter-powerful-dispenser-full-glass-damping-lid-fully-automatic-top-load-washing-machine-grey/p/itm777338e91f148?pid=WMNH86UVNRPF3GHQ&lid=LSTWMNH86UVNRPF3GHQSZIBHG&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_18&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZnd7OsiLMbTnEqtMbQI5cmTpwEiE3JuseP0GcRXqOMjKHTaXAI15xQIPam6Hsx54Dy4%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"TCL 9.5 kg 8 Wash Program Magic Filter, Powerful Dispenser with Full Glass Damping Lid Fully Automatic...",3.9,134,12,1400 RPM,5 Star,N/A,N/A,14990,35990,58 
https://www.flipkart.com/samsung-6-5-kg-5-star-air-turbo-drying-semi-automatic-top-load-washing-machine-blue-grey/p/itm0a721af2722c5?pid=WMNGCYG95M7JR7HH&lid=LSTWMNGCYG95M7JR7HHLG4GX7&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_19&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGCYG95M7JR7HH.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"SAMSUNG 6.5 kg 5 star, Air Turbo Drying Semi Automatic Top Load Washing Machine Blue, Grey",4.4,39184,2723,1350 RPM,5 Star,N/A,N/A,9690,12500,22 
https://www.flipkart.com/lg-7-kg-5-star-wind-jet-dry-collar-scrubber-rust-free-plastic-base-semi-automatic-top-load-washing-machine-grey-white/p/itmc9d497e9b58bb?pid=WMNG4VNTJAUVBCKN&lid=LSTWMNG4VNTJAUVBCKNTY71YJ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=BestsellerId_j9e%2Fabm%2F8qx&srno=s_1_20&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNG4VNTJAUVBCKN.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,40017,2617,1350 RPM,5 Star,N/A,2 Years,11490,14190,19 
